ID,T_NEA,T_NEB,T_NEC,T_SEA,T_SEB,T_SEC,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj,NL_SL,NL_SL_foldChange,NL_SL_padj,NX_SX,NX_SX_foldChange,NX_SX_padj
WBGene00004191,72.8558106747558,67.8510860928298,83.9180367609504,192.143491538334,153.426922626798,203.27120847209,128.911092694293,1.28455419858011,0.289099847960203,19.4692594750764,1.02231781269375e-05,8.0473898874215e-05,2.43606765152068,4.09434495706079,False,,,True,2.21950980445427,0.0003786212118961
WBGene00004194,170.388589481284,125.058864563255,110.264397139388,412.491532293305,276.472276416606,324.591178745946,236.544473106631,1.32155223579872,0.329693651727151,15.6375351771022,7.67165753364363e-05,0.0003548985840587,2.49934877066571,3.44989573335654,False,,,True,2.15783787873469,0.0001663758569797
WBGene00004197,45.8286551018625,62.5294322816275,54.6443030071305,165.701726647738,116.209500801485,117.302752715119,93.7027284258272,1.29318266033175,0.338586389236464,14.3584436285444,0.000151100538243,0.0005826623195465,2.45068092609027,3.23458306658833,False,,,False,,
WBGene00004207,117.509372056058,182.26664303368,197.109807275721,286.452452981462,521.043905554373,670.071888797324,329.075678283103,1.57202717833593,0.440469337762594,12.2055794943182,0.0004764679962107,0.0013926566750177,2.97322197963514,2.85615593492044,False,,,True,2.47780827254652,0.0017867056736798
WBGene00004210,418.333364519566,509.548352422624,456.67024655959,672.502220384171,1438.56728443146,2203.84555272309,949.911170173417,1.64011029206605,0.481312627757035,11.0495306492084,0.0008870965308949,0.0022875237052065,3.11689659202276,2.64063439672073,False,,,True,2.71663134781884,8.62839264060595e-05
WBGene00004216,88.1320290420433,75.8335668096334,54.6443030071305,98.7159222582269,236.976236928519,359.139249751084,152.240217966106,1.67041637274282,0.550684004284905,8.78350446642341,0.0030396666753973,0.006343273511845,3.18306445903787,2.19768656211284,False,,,True,2.1895216398331,0.0035741654209746
WBGene00004219,82.2565604392404,29.2690959616129,72.2085432594224,60.8160592483719,313.689698241918,658.020236121113,202.710032211946,2.48881997792905,0.822251190654863,8.26321371431747,0.004045644762853,0.0080763431560662,5.61318643699809,2.09278523658082,True,7.46038665678517,4.47617953809786e-05,True,6.09278568792798,6.31175977428619e-05
WBGene00004222,180.964432966329,224.839873523299,166.860282396773,305.843080567899,593.200131542223,670.875332309071,357.097188884266,1.45635681572942,0.401649509192554,12.6694920319667,0.000371670495163,0.0011491052906009,2.74414519120926,2.93964017580956,False,,,True,2.33719391269281,0.0027805870675443
WBGene00004225,112.808997173815,122.398037657654,123.925472891171,211.534119124772,311.411080579144,477.24544597795,226.553858900751,1.4778965070774,0.397197780123289,13.3658607657725,0.0002562462772424,0.0008682001193543,2.78542313953709,3.06138015879342,True,2.29116783477871,0.0095351054769569,True,2.59417438857184,8.95536451595904e-05
WBGene00004228,218.567432024267,198.231604467287,212.722465277758,403.677610663106,416.227493066758,556.786353640942,334.368826523353,1.12848978559895,0.260856779704683,18.3642384687893,1.82450391880878e-05,0.0001233841951714,2.1862975860592,3.90874046744564,False,,,True,2.12609820157282,9.67127435414123e-06
WBGene00004230,37.6029990579385,50.5557112064222,33.1768982543292,71.3927652046105,151.148304964024,310.93263904624,109.134886288927,2.14002724368056,0.608480628298203,11.5292970392179,0.0006850791419727,0.0018617392451632,4.40770369726988,2.73008114629607,True,3.70027152208442,0.0012176472506409,True,5.45232868200776,9.33465455929685e-07
WBGene00004232,43.4784676607414,33.2603363200146,42.9348095056025,69.6299808785707,271.915041091057,515.810734541825,162.838228332969,2.83973755579483,0.704010547800936,14.3865760751102,0.0001488597308345,0.0005757444819232,7.15889815618428,3.23977021572894,True,4.42302216781559,2.64489379345078e-05,True,4.34287843937998,1.24414639297687e-07
WBGene00004235,602.823078647576,654.563418777888,477.161860187264,1194.28638089194,1051.20228175984,1517.70479369082,916.290302325889,1.11816656959477,0.282642820987302,15.2953561359966,9.19422615717083e-05,0.0004038637728813,2.17070935341758,3.39376510187667,False,,,True,2.21455938531699,0.0002957842223977
WBGene00004236,29.3773430140144,34.5907497728152,26.3463603784379,60.8160592483719,127.602589115357,184.7920077019,77.254184871816,2.05143011608556,0.52390574486515,14.5345302804925,0.0001376139441074,0.0005431600324562,4.14516668413573,3.26507219440191,True,4.52907599157024,0.0009049466491088,True,3.09594884057383,0.0017372397210654
WBGene00004237,306.699461066311,291.360546163328,323.962653542274,465.375062074498,922.840153423561,1135.26568209906,574.250593061506,1.45248654073464,0.407235292259405,12.2471015469468,0.000465981419028,0.0013679731423306,2.73679342027607,2.86392242911596,False,,,True,2.31864320015077,4.36080460839943e-05
WBGene00004238,459.461644739186,484.270496819413,350.309013920711,1315.91849938869,919.801996539862,1040.45934771287,761.703499853455,1.3410147509243,0.285505991221933,21.3645350692104,3.7973084945729e-06,3.79526936709968e-05,2.53329440913872,4.42075739486904,False,,,False,,
WBGene00004256,314.925117110235,348.568324633753,377.631165424277,562.328200006685,991.198683306788,1083.04185383548,612.948890719537,1.3404680184951,0.350648929798142,14.1525672316298,0.0001685669260717,0.0006319750623606,2.53233455847063,3.19930005857336,False,,,True,2.97925831404748,7.30764660319941e-08
WBGene00004264,92.8324039242856,50.5557112064222,131.73180189219,160.413373669619,628.898474925686,1295.15094093679,393.263784425833,2.91965083971953,0.751193852727009,13.1492314856339,0.0002876371947066,0.0009433110657913,7.56662968052586,3.02534507091067,True,11.0821963493491,3.65217132476004e-07,True,13.7487885685723,9.03990514306441e-20
WBGene00004265,65.8052483513924,69.1814995456304,61.4748408830218,95.1903536061474,141.274295092002,166.31280693171,99.8731740683173,1.03842743947405,0.352137212504823,8.59373943832593,0.0033732062542136,0.0069250351032654,2.0539875535806,2.15957802080275,False,,,True,2.18517062663505,0.0022765617001919
WBGene00004275,0.0,0.0,2.92737337538199,55.5277062702526,33.4197257206886,14.461983211453,17.722798096296,4.98606459268526,1.19887537985247,18.9895892740913,1.31433620023339e-05,9.654341553004e-05,31.6923908093464,4.0152773406985,False,,,True,10.6815749604541,0.002445820728923
WBGene00004300,311.399835948553,178.275402675278,577.668346075379,576.430474615004,4136.45059715614,5390.30252031324,1861.75452946393,3.24214858724383,0.800386514168835,13.8226655785426,0.0002008980319103,0.0007226203419647,9.46202247223427,3.14108981708478,True,11.8388689355085,2.38841554095047e-09,True,20.1880589908129,1.9282536600544599e-16
WBGene00004310,192.715370171935,207.544498636891,178.569775898301,385.168375239689,400.277169427339,437.876713902328,300.35865054608,1.08156587249697,0.217486325395996,24.3719231858532,7.94177665328189e-07,1.12548816175233e-05,2.11633185950011,4.94865906868894,False,,,False,,
WBGene00004316,81.0814667186799,98.4505955072433,96.6033213876057,189.499315049275,224.064070172799,258.70881078266,158.067929936377,1.28418039273876,0.282053606519345,20.3732222381191,6.37151535727125e-06,5.60552803306989e-05,2.43543654215177,4.25138347119617,False,,,True,2.84818155582082,0.0001990631101598
WBGene00004321,162.16293343736,220.848633164897,236.141452280814,441.577473672961,562.818562705233,576.068997922879,366.603008864024,1.35153350569316,0.28743929710251,21.4843168169202,3.56734308279557e-06,3.61285151027259e-05,2.5518322712825,4.44214988775234,False,,,True,2.40017153073065,1.76974745774477e-05
WBGene00004345,117.509372056058,89.1377013376392,161.981326771137,254.722335112746,263.560109660885,261.922584829649,191.472238294686,1.07648844624569,0.324037479946722,10.8706258800573,0.0009770150658966,0.0024714556582354,2.10889672463826,2.60704717705286,False,,,True,2.31351732314431,0.0008357333866795
WBGene00004349,85.7818416009222,51.8861246592228,70.2569610091678,116.343765518625,169.377246266217,183.988564190152,112.939083874051,1.17377127071487,0.369219622729814,9.9432439701467,0.0016144079926553,0.0037383119000511,2.25600657237481,2.42732446678272,False,,,False,,
WBGene00004395,128.085215541103,135.70217218566,115.143352765025,191.262099375315,325.842325776714,363.156467309821,209.865272158939,1.2177488805433,0.358153151548846,11.294250323768,0.0007774748851238,0.0020535291391846,2.32583520660302,2.68749913021121,False,,,True,2.51310179313889,0.0001299474239154
WBGene00004397,115.159184614937,14.6345479808064,123.925472891171,112.818196866545,822.580976261495,1235.69612106749,404.135749947073,3.09528695380784,0.951169891563273,9.06422775729018,0.0026065859592032,0.0055735156245358,8.54622294953791,2.25387077705291,True,26.6523109182678,1.75683853938847e-08,True,20.0425368005908,6.359116642389591e-20
WBGene00004398,156.287464834557,35.9211632256158,161.981326771137,143.666922572241,952.462183039626,1513.68757613208,494.001106095877,2.88006829254522,0.866798931072988,9.61698529767517,0.0019278594058988,0.0043306387164022,7.36184968304796,2.36344804578241,True,22.3743311488126,2.3446601649557e-09,True,18.3303543615823,4.9666068952816e-09
